cmatch,exp_id,meg_trade_name_1st_2b,f1_ads,ads
222,148305-1,AI,818,12532
222,148305-1,IT/消费电子,84,6984
222,148305-1,交通出行,519,15132
222,148305-1,保健品/药品,151,969
222,148305-1,农林牧渔,47,1371
222,148305-1,化工及能源,169,3295
222,148305-1,医疗器械,2567,6939
222,148305-1,医疗服务,680,65778
222,148305-1,商务服务,1208,25704
222,148305-1,商品交易,1860,61916
222,148305-1,房产家居,186,7623
222,148305-1,招商加盟,95,2597
222,148305-1,教育培训,1858,51169
222,148305-1,整形美容,98,7891
222,148305-1,文体器材,7,280
222,148305-1,文娱传媒,1980,39174
222,148305-1,旅游服务,333,24921
222,148305-1,日用消费品,164,2044
222,148305-1,机械设备,202,3640
222,148305-1,母婴用品,3,83
222,148305-1,游戏,755,6007
222,148305-1,物流业,41,1581
222,148305-1,生活服务,1070,39228
222,148305-1,电子电工,605,6708
222,148305-1,直营电商,2,409
222,148305-1,社会公共,28,284
222,148305-1,箱包服饰,41,3179
222,148305-1,网络服务,308,3828
222,148305-1,软件,3051,70480
222,148305-1,通信,31,1200
222,148305-1,金融服务,732,12925
222,148305-1,食品饮料,203,4387
222,148305-dz,AI,378,5323
222,148305-dz,IT/消费电子,63,3041
222,148305-dz,交通出行,107,5409
222,148305-dz,保健品/药品,51,327
222,148305-dz,农林牧渔,15,352
222,148305-dz,化工及能源,46,1027
222,148305-dz,医疗器械,904,2338
222,148305-dz,医疗服务,220,24689
222,148305-dz,商务服务,441,9300
222,148305-dz,商品交易,816,28300
222,148305-dz,房产家居,52,2584
222,148305-dz,招商加盟,35,752
222,148305-dz,教育培训,717,20228
222,148305-dz,整形美容,43,2295
222,148305-dz,文体器材,1,128
222,148305-dz,文娱传媒,1035,17468
222,148305-dz,旅游服务,114,9400
222,148305-dz,日用消费品,54,650
222,148305-dz,机械设备,57,1236
222,148305-dz,母婴用品,1,42
222,148305-dz,游戏,286,2240
222,148305-dz,物流业,8,409
222,148305-dz,生活服务,414,15489
222,148305-dz,电子电工,181,2500
222,148305-dz,直营电商,2,180
222,148305-dz,社会公共,7,59
222,148305-dz,箱包服饰,15,1047
222,148305-dz,网络服务,91,1142
222,148305-dz,软件,1213,25776
222,148305-dz,通信,14,350
222,148305-dz,金融服务,251,5037
222,148305-dz,食品饮料,50,1150
223,148305-1,AI,5017,8352
223,148305-1,IT/消费电子,505,6034
223,148305-1,交通出行,1182,19653
223,148305-1,保健品/药品,374,1080
223,148305-1,农林牧渔,126,795
223,148305-1,化工及能源,269,2630
223,148305-1,医疗器械,4584,7155
223,148305-1,医疗服务,1747,56200
223,148305-1,商务服务,5143,22905
223,148305-1,商品交易,9963,92670
223,148305-1,房产家居,266,4670
223,148305-1,招商加盟,111,1622
223,148305-1,教育培训,13519,39079
223,148305-1,整形美容,158,3843
223,148305-1,文体器材,23,180
223,148305-1,文娱传媒,8197,25078
223,148305-1,旅游服务,2116,9332
223,148305-1,日用消费品,666,1597
223,148305-1,机械设备,289,2327
223,148305-1,母婴用品,13,74
223,148305-1,游戏,6358,16839
223,148305-1,物流业,78,1140
223,148305-1,生活服务,2574,27116
223,148305-1,电子电工,1449,7251
223,148305-1,直营电商,15,365
223,148305-1,社会公共,123,296
223,148305-1,箱包服饰,108,1821
223,148305-1,网络服务,1933,7161
223,148305-1,软件,25535,69794
223,148305-1,通信,138,2061
223,148305-1,金融服务,3401,13174
223,148305-1,食品饮料,595,2919
223,148305-dz,AI,2627,4251
223,148305-dz,IT/消费电子,124,2331
223,148305-dz,交通出行,261,6376
223,148305-dz,保健品/药品,117,389
223,148305-dz,农林牧渔,29,226
223,148305-dz,化工及能源,89,722
223,148305-dz,医疗器械,1638,2642
223,148305-dz,医疗服务,569,21828
223,148305-dz,商务服务,1616,8145
223,148305-dz,商品交易,4749,43502
223,148305-dz,房产家居,72,1604
223,148305-dz,招商加盟,36,545
223,148305-dz,教育培训,5381,16207
223,148305-dz,整形美容,59,1660
223,148305-dz,文体器材,5,73
223,148305-dz,文娱传媒,3957,12013
223,148305-dz,旅游服务,796,3664
223,148305-dz,日用消费品,263,594
223,148305-dz,机械设备,101,852
223,148305-dz,母婴用品,2,54
223,148305-dz,游戏,2671,7092
223,148305-dz,物流业,22,310
223,148305-dz,生活服务,934,11183
223,148305-dz,电子电工,372,2347
223,148305-dz,直营电商,2,35
223,148305-dz,社会公共,17,81
223,148305-dz,箱包服饰,34,645
223,148305-dz,网络服务,632,2144
223,148305-dz,软件,11354,30191
223,148305-dz,通信,33,502
223,148305-dz,金融服务,1180,5224
223,148305-dz,食品饮料,188,941
